scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
294,A15F14,3.0,das,False,True,two_medium,56.2,84.30000000000001,1,-13.122202527860898,39.23948241499509,12.5,17.5,10.0,641,0.3267898723601051,0.016188856598826955,0.5730364999999438,33.60211835659475,0.0,0.0,3.780885596047578,3.6491736888426733,0.38341829435906066
338,A16F3,2.0,das,False,True,two_medium,57.0,85.5,1,-1.1120950080849532,2.1135548719864494,7.5,-52.5,5.0,593,0.3402053403175214,0.008102733481435436,0.5596685000000434,55.2884124946969,0.0,0.0,10.613852140381372,9.78300738518403,8.52382570384728
50,A3F13,2.0,das,False,True,two_medium,56.9,85.35,1,-0.8258770745820564,0.88406758680775,-22.5,37.5,5.0,788,0.4401022241828901,0.024581805050182138,0.5589550000004238,42.5499014226072,0.0,0.0,11.67644374696797,10.324454134268377,9.533774043615784
77,A13F4,3.0,das,False,True,two_medium,43.8,65.69999999999999,1,0.6976183432478347,0.06788319652368117,-27.5,-7.5,5.0,525,0.6341161642193931,0.013188110331460749,0.5566054000009899,29.19552253869919,0.0,0.0,11.081716771917563,9.774970950441709,9.495432744269191
419,A1F3,,das,False,True,two_medium,22.9,34.349999999999994,1,-1.6669141836359445,0.41439571861198304,-2.5,-30.0,5.0,176,0.9211500325394478,0.05444965753644748,0.5513286999994307,30.42580317601739,0.0,0.0,7.366599900915163,6.722186480866309,3.538852260980199
324,A14F11,2.0,das,False,True,two_medium,45.4,68.1,1,41.80656590224598,50.949088209680205,-22.5,-22.5,10.0,381,0.25885527703670225,0.02336441444157507,0.5522872999990796,97.62224632210268,0.0,0.0,4.263606268456296,4.120955308082354,0.33924845790519015
202,A3F1,,das,False,True,two_medium,56.9,85.35,1,-4.4745923246269665,-9.60810897334071,7.5,-22.5,15.0,1200,0.04346708540915945,0.006215852744024274,0.5543049000007159,17.595218543237063,0.021447721179624665,0.04199475065616798,4.935826943443663,4.578225037444179,0.327298545368397
156,A12F1,1.0,das,False,True,two_medium,39.0,58.5,1,-2.970286496882465,1.941677921377738,-7.5,-37.5,5.0,721,0.28920020469702074,0.045439642888953524,0.5548591000006127,39.70093527455017,0.0,0.0,9.832184239631758,8.229291738599512,5.658209631160947
215,A14F13,3.0,das,False,True,two_medium,45.4,68.1,1,0.2659940928312597,1.5887757459625227,-7.5,-52.5,5.0,545,0.41155411242267587,0.12367052847331997,0.551854800000001,54.64344723703761,0.0,0.0,9.427202429123632,8.555779673811085,6.8106296743226125
459,A12F13,4.0,das,False,True,two_medium,39.0,58.5,0,1.5008956781795157,0.9437794958827896,17.5,7.5,10.0,432,0.7340010959171394,0.22709274461914544,0.5647618000002694,17.290325803729143,0.001336898395721925,0.0026702269692923898,10.165503420987008,9.055293516845301,8.744656366624826
