scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
398,A2F5,4.0,dmas,False,True,geometry_informed,48.5,72.75,1,-61.418316609287324,-43.600540819747415,-17.5,-10.0,10.0,410,0.30486461253770775,0.10037055541085133,0.5906362999994599,55.29751239588554,0.0,0.0,9.207385051361136,8.64172710028544,4.900892030389689
400,A2F5,4.0,dmas,False,True,geometry_informed,48.5,72.75,1,-68.42769827610937,-51.64290817182582,-10.0,-15.0,5.0,355,0.2901314755526474,0.07370449191854019,0.5680305999994744,68.96737377291478,0.0,0.0,9.227255124462015,8.730901149490338,4.0595016480179185
87,A13F2,2.0,dmas,False,True,geometry_informed,43.8,65.69999999999999,1,-56.13797695478561,-56.54357438696254,-22.5,0.0,10.0,230,0.6635135999317286,0.1682760739409244,0.5623606000008294,65.79277542454531,0.0,0.0,8.908298407970008,8.541524072675337,5.4537379061406135
190,A15F1,1.0,dmas,False,True,geometry_informed,56.2,84.30000000000001,1,35.29759968535882,58.88197762022368,22.5,22.5,15.0,388,0.07324908055963221,0.043641084605486435,0.5982655999996496,38.56717325997788,0.0,0.0,2.718576059036134,2.6681392555339607,0.6844580437518889
399,A2F5,4.0,dmas,False,True,geometry_informed,48.5,72.75,1,-68.4735527733356,45.5507609523082,-10.0,-15.0,10.0,437,0.22565351571642664,0.1301622525057532,0.5914314000001468,84.17571517866442,0.0,0.0,10.047169262315316,9.312860312853646,5.516879579718493
364,A15F5,4.0,dmas,False,True,geometry_informed,56.2,84.30000000000001,1,-75.80163740659192,-52.06157381175113,-37.5,22.5,5.0,922,0.17818060294408547,0.10049533601249028,0.5943618000001152,83.8238851241772,0.0,0.0,9.821358832387734,8.768739656440076,3.370289809449409
459,A12F13,4.0,dmas,False,True,geometry_informed,39.0,58.5,0,5.216678386154808,6.3089934659023434,17.5,7.5,10.0,209,0.5210020746679364,0.15085154690989858,0.549309699999867,12.340927292283176,0.0912863070539419,0.16730038022813687,5.233558754164199,5.083826046815708,2.21002774382752
425,A1F4,,dmas,False,True,geometry_informed,22.9,34.349999999999994,1,26.441491666878033,20.16490772419612,7.5,15.0,10.0,121,0.5845947113946405,0.24172708738904888,0.5459601000002294,19.633043023583244,0.0,0.0,3.243851696881395,3.1263608528738542,1.3823379065240213
318,A2F3,,dmas,False,True,geometry_informed,48.5,72.75,1,-69.26111907639407,56.78271088563509,22.5,22.5,15.0,408,0.24385632393144077,0.20017866493376266,0.5929417999996076,97.95614957632938,0.0,0.0,12.318396982791777,11.168533254932193,10.682943115922104
422,A1F4,,dmas,False,True,geometry_informed,22.9,34.349999999999994,1,26.259413669419313,-28.621131277805354,5.0,0.0,10.0,65,0.9075712110370513,0.24595760968796007,0.5438223000001017,35.65293571627532,0.0,0.0,4.299069140381936,4.202728733744321,2.2034586307052324
387,A3F5,4.0,dmas,False,True,geometry_informed,56.9,85.35,1,-75.23719404691597,-52.67190002145035,-17.5,-7.5,15.0,598,0.2727061121856142,0.07397763123365668,0.576078600000983,73.30814503149793,0.0,0.0,10.160084936695695,9.406394406594568,4.01296107709321
167,A1F1,,dmas,False,True,geometry_informed,22.9,34.349999999999994,1,28.624032890597835,30.765506491948937,0.0,0.0,5.0,93,0.8093299633901683,0.32992249307303717,0.5438295999992988,42.02203765440437,0.0,0.0,7.271267593971831,6.92789235671246,4.9130603974065545
261,A14F14,4.0,dmas,False,True,geometry_informed,45.4,68.1,1,12.169947495621651,45.74386901593636,7.5,-45.0,15.0,291,0.54384501022881,0.26778986923748355,0.5748079999993934,90.8639542040367,0.0,0.0,6.503263875088216,6.2788730702586015,2.140623026162414
443,A2F14,4.0,dmas,False,True,geometry_informed,48.5,72.75,1,14.257280271153363,62.41460113574582,-22.5,22.5,10.0,214,0.617356132110391,0.4509784997230384,0.628600699999879,54.26115587377218,0.0,0.0,7.988866311915247,7.7669662490062095,3.4838497817743925
96,A11F1,1.0,dmas,False,True,geometry_informed,33.1,49.650000000000006,1,-11.636390616125983,-2.0562273219132337,7.5,-37.5,5.0,288,0.27847912718801493,0.049807238629825334,0.5584660000004078,40.27980222728066,0.0,0.0,5.01248434498439,4.7540880774353145,1.8353086483699672
326,A12F3,2.0,dmas,False,True,geometry_informed,39.0,58.5,1,-52.51337539300358,-33.6783092468927,-17.5,-22.5,15.0,402,0.318196081315973,0.23037929416767153,0.5747380000011617,36.75446985103384,0.0,0.0,7.912381575301141,7.306708289043447,4.952178796223681
8,A13F14,4.0,dmas,False,True,geometry_informed,43.8,65.69999999999999,1,8.842948069129136,52.643954691222504,7.5,20.0,15.0,234,0.7902528147702356,0.1841372719007735,0.5987728999989486,32.67156695659033,0.0,0.0,7.470281289876568,7.2145448062426185,3.1698053461246123
50,A3F13,2.0,dmas,False,True,geometry_informed,56.9,85.35,1,-60.68239228964731,-57.286473687036924,-22.5,37.5,5.0,366,0.13733738376348822,0.03384647653068059,0.6435766000013246,102.1879184394313,0.0,0.0,3.6330192485435253,3.5632857314308457,0.7604983560664766
